"ID","NeighborID","Counter","Ticks"
"17","26",14683,5862
"17","6",14684,5862
"17","6",14685,5863
"17","6",14686,5863
"17","6",14687,5864
"17","6",14688,5864
"17","6",14689,5864
"17","11",14690,5865
"17","11",14691,5865
"17","29",14692,5866
"17","29",14693,5866
"17","29",14694,5866
"17","29",14695,5867
"17","7",14696,5867
"17","7",14697,5868
"17","42",14698,5868
"17","42",14699,5868
"17","9",14700,5869
"17","9",14701,5869
"17","9",14702,5870
"17","10",14703,5870
"17","255",14704,5871
"17","255",14705,5871
"17","45",14706,5871
"17","45",14707,5872
"17","25",14708,5872
"17","31",14709,5873
"17","31",14710,5873
"17","31",14711,5873
"17","31",14712,5874
"17","35",14713,5874
"17","32",14714,5875
"17","32",14715,5875
"17","32",14716,5875
"17","36",14717,5876
"17","20",14718,5876
"17","34",14719,5877
"17","34",14720,5877
"17","34",14721,5878
"17","22",14722,5878
"17","22",14723,5878
"17","4",14724,5879
"17","4",14725,5879
"17","23",14726,5880
"17","23",14727,5880
"17","23",14728,5880
"17","26",14729,5881
"17","26",14730,5881
"17","6",14731,5882
"17","6",14732,5882
"17","6",14733,5882
"17","11",14734,5883
"17","11",14735,5883
"17","11",14736,5884
"17","11",14737,5884
"17","11",14738,5884
"17","29",14739,5885
"17","42",14740,5885
"17","7",14741,5886
"17","7",14742,5886
"17","7",14743,5886
"17","9",14744,5887
"17","9",14745,5887
"17","9",14746,5888
"17","9",14747,5888
"17","45",14748,5888
"17","45",14749,5889
"17","45",14750,5889
"17","45",14751,5890
"17","10",14752,5890
"17","24",14753,5890
"17","24",14754,5891
"17","24",14755,5891
"17","24",14756,5892
"17","35",14757,5892
"17","35",14758,5893
"17","35",14759,5893
"17","35",14760,5893
"17","36",14761,5894
"17","36",14762,5894
"17","36",14763,5895
"17","20",14764,5895
"17","20",14765,5895
"17","20",14766,5896
"17","20",14767,5896
"17","34",14768,5897
"17","34",14769,5897
"17","22",14770,5897
"17","22",14771,5898
"17","22",14772,5898
"17","22",14773,5899
"17","22",14774,5899
"17","22",14775,5899
"17","22",14776,5900
"17","22",14777,5900
"17","6",14778,5901
"17","6",14779,5901
"17","6",14780,5901
"17","6",14781,5902
"17","255",14782,5902
"17","255",14783,5903
"17","42",14784,5903
"17","42",14785,5903
"17","29",14786,5904
"17","7",14787,5904
"17","7",14788,5905
"17","7",14789,5905
"17","14",14790,5906
"17","45",14791,5906
"17","45",14792,5906
"17","45",14793,5907
"17","45",14794,5907
"17","45",14795,5908
"17","45",14796,5908
"17","12",14797,5908
"17","25",14798,5909
"17","25",14799,5909
"17","25",14800,5910
"17","35",14801,5910
"17","24",14802,5910
"17","32",14803,5911
"17","32",14804,5911
"17","36",14805,5912
"17","36",14806,5912
"17","36",14807,5912
"17","36",14808,5913
"17","36",14809,5913
"17","36",14810,5914
"17","36",14811,5914
"17","36",14812,5914
"17","36",14813,5915
"17","36",14814,5915
"17","22",14815,5916
"17","22",14816,5916
"17","26",14817,5916
"17","11",14818,5917
"17","11",14819,5917
"17","11",14820,5918
"17","11",14821,5918
"17","11",14822,5919
"17","255",14823,5919
"17","6",14824,5919
"17","6",14825,5920
"17","6",14826,5920
"17","6",14827,5921
"17","33",14828,5922
"17","33",14829,5922
"17","33",14830,5923
"17","18",14831,5923
